date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:27:06	45281/45281	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/images/work-3.jpg	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/images/work-3.jpg	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:27:08	51321/51321	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/images/work-5.jpg	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/images/work-5.jpg	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:27:08	606971/606971	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/images/slider-2.jpg	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/images/slider-2.jpg	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:27:08	74814/74814	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/images/work-4.jpg	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/images/work-4.jpg	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:27:08	21671/21671	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/images/work-6.jpg	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/images/work-6.jpg	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:27:08	10191/10191	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/single-blog.html	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/single-blog.html	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:27:09	12192/12192	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/images/blog-1.jpg	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/images/blog-1.jpg	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:27:09	10642/10642	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/images/blog-2.jpg	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/images/blog-2.jpg	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:27:09	7940/7940	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/images/blog-3.jpg	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/images/blog-3.jpg	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:27:10	6336/6336	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/blog-page.html	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/blog-page.html	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:27:10	84345/84345	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/js/jquery-2.1.4.min.js	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/js/jquery-2.1.4.min.js	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:27:11	37045/37045	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/js/bootstrap.min.js	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/js/bootstrap.min.js	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:27:11	8415/8415	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/js/wow.min.js	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/js/wow.min.js	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:27:11	40847/40847	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/js/isotope.pkgd.min.js	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/js/isotope.pkgd.min.js	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:27:12	12130/12130	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/js/typed.js	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/js/typed.js	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:27:12	21237/21237	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/js/jquery.magnific-popup.min.js	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/js/jquery.magnific-popup.min.js	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:27:12	7791/7791	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/js/jquery.superslides.min.js	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/js/jquery.superslides.min.js	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:27:13	23890/23890	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/js/owl.carousel.min.js	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/js/owl.carousel.min.js	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:27:13	7308/7308	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/js/main.js	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/js/main.js	(from https://html.tavonline.co/berlin/main/diagonal-slider.html)
21:27:19	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:54:56%20GMT	https://html.tavonline.co/berlin/main/fonts/glyphicons-halflings-regular.eot	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/fonts/glyphicons-halflings-regular.24.delayed	(from https://html.tavonline.co/berlin/main/css/bootstrap.css)
21:27:19	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:54:56%20GMT	https://html.tavonline.co/berlin/main/fonts/glyphicons-halflings-regular.eot?	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/fonts/glyphicons-halflings-regulard41d.eot	(from https://html.tavonline.co/berlin/main/css/bootstrap.css)
21:27:20	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:54:56%20GMT	https://html.tavonline.co/berlin/main/fonts/glyphicons-halflings-regular.woff2	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/fonts/glyphicons-halflings-regular.woff2	(from https://html.tavonline.co/berlin/main/css/bootstrap.css)
21:27:20	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:54:56%20GMT	https://html.tavonline.co/berlin/main/fonts/glyphicons-halflings-regular.woff	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/fonts/glyphicons-halflings-regular.woff	(from https://html.tavonline.co/berlin/main/css/bootstrap.css)
21:27:21	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:54:56%20GMT	https://html.tavonline.co/berlin/main/fonts/glyphicons-halflings-regular.ttf	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/fonts/glyphicons-halflings-regular.ttf	(from https://html.tavonline.co/berlin/main/css/bootstrap.css)
21:27:21	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:54:56%20GMT	https://html.tavonline.co/berlin/main/fonts/glyphicons-halflings-regular.svg	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/fonts/glyphicons-halflings-regular.svg	(from https://html.tavonline.co/berlin/main/css/bootstrap.css)
21:27:22	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:54:56%20GMT	https://html.tavonline.co/berlin/main/images/home.jpg	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/images/home.jpg	(from https://html.tavonline.co/berlin/main/css/style.css)
21:27:23	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/icon-fonts/font-awesome-4.5.0/fonts/fontawesome-webfont.eot?v=4.5.0	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/icon-fonts/font-awesome-4.5.0/fonts/fontawesome-webfont3295.eot	(from https://html.tavonline.co/berlin/main/icon-fonts/font-awesome-4.5.0/css/font-awesome.min.css)
21:27:24	66624/66624	---M--	200	added ('OK')	font/woff2	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/icon-fonts/font-awesome-4.5.0/fonts/fontawesome-webfont.woff2?v=4.5.0	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/icon-fonts/font-awesome-4.5.0/fonts/fontawesome-webfont3295.woff2	(from https://html.tavonline.co/berlin/main/icon-fonts/font-awesome-4.5.0/css/font-awesome.min.css)
21:27:24	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/icon-fonts/font-awesome-4.5.0/fonts/fontawesome-webfont.eot?	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/icon-fonts/font-awesome-4.5.0/fonts/fontawesome-webfontd41d.eot	(from https://html.tavonline.co/berlin/main/icon-fonts/font-awesome-4.5.0/css/font-awesome.min.css)
21:27:27	142072/142072	---M--	200	added ('OK')	font/ttf	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/icon-fonts/font-awesome-4.5.0/fonts/fontawesome-webfont.ttf?v=4.5.0	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/icon-fonts/font-awesome-4.5.0/fonts/fontawesome-webfont3295.ttf	(from https://html.tavonline.co/berlin/main/icon-fonts/font-awesome-4.5.0/css/font-awesome.min.css)
21:27:27	365616/365616	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/icon-fonts/font-awesome-4.5.0/fonts/fontawesome-webfont.svg?v=4.5.0	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/icon-fonts/font-awesome-4.5.0/fonts/fontawesome-webfont3295.svg	(from https://html.tavonline.co/berlin/main/icon-fonts/font-awesome-4.5.0/css/font-awesome.min.css)
21:27:28	12956/12956	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/icon-fonts/essential-regular-fonts/essential-regular.eot	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/icon-fonts/essential-regular-fonts/essential-regular.eot	(from https://html.tavonline.co/berlin/main/icon-fonts/essential-regular-fonts/essential-icons.css)
21:27:28	12956/12956	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/icon-fonts/essential-regular-fonts/essential-regular.eot?	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/icon-fonts/essential-regular-fonts/essential-regulard41d.eot	(from https://html.tavonline.co/berlin/main/icon-fonts/essential-regular-fonts/essential-icons.css)
21:27:28	83588/83588	---M--	200	added ('OK')	font/woff	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/icon-fonts/font-awesome-4.5.0/fonts/fontawesome-webfont.woff?v=4.5.0	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/icon-fonts/font-awesome-4.5.0/fonts/fontawesome-webfont3295.woff	(from https://html.tavonline.co/berlin/main/icon-fonts/font-awesome-4.5.0/css/font-awesome.min.css)
21:27:28	7644/7644	---M--	200	added ('OK')	font/woff	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/icon-fonts/essential-regular-fonts/essential-regular.woff	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/icon-fonts/essential-regular-fonts/essential-regular.woff	(from https://html.tavonline.co/berlin/main/icon-fonts/essential-regular-fonts/essential-icons.css)
21:27:28	12752/12752	---M--	200	added ('OK')	font/ttf	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/icon-fonts/essential-regular-fonts/essential-regular.ttf	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/icon-fonts/essential-regular-fonts/essential-regular.ttf	(from https://html.tavonline.co/berlin/main/icon-fonts/essential-regular-fonts/essential-icons.css)
21:27:30	22204/22204	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/index.html	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/index.html	(from https://html.tavonline.co/berlin/main/single-blog.html)
21:27:32	27847/27847	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/icon-fonts/essential-regular-fonts/essential-regular.svg	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/icon-fonts/essential-regular-fonts/essential-regular.svg	(from https://html.tavonline.co/berlin/main/icon-fonts/essential-regular-fonts/essential-icons.css)
21:27:36	51576/51576	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/images/person-1.jpg	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/images/person-1.jpg	(from https://html.tavonline.co/berlin/main/single-blog.html)
21:27:37	66098/66098	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/images/person-2.jpg	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/images/person-2.jpg	(from https://html.tavonline.co/berlin/main/single-blog.html)
21:27:37	45644/45644	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/images/person-3.jpg	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/images/person-3.jpg	(from https://html.tavonline.co/berlin/main/single-blog.html)
21:27:39	69297/69297	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/images/blog-5.png	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/images/blog-5.png	(from https://html.tavonline.co/berlin/main/blog-page.html)
21:27:39	56377/56377	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/images/blog-6.png	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/images/blog-6.png	(from https://html.tavonline.co/berlin/main/blog-page.html)
21:27:41	95141/95141	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/images/blog-big.jpg	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/images/blog-big.jpg	(from https://html.tavonline.co/berlin/main/single-blog.html)
21:27:41	75461/75461	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/images/blog-4.png	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/images/blog-4.png	(from https://html.tavonline.co/berlin/main/blog-page.html)
21:27:43	4324/4324	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Apr%202022%2014:30:19%20GMT	https://html.tavonline.co/berlin/main/js/smoothscroll.js	C:/Users/HP/Desktop/portfolioo/html.tavonline.co/berlin/main/js/smoothscroll.js	(from https://html.tavonline.co/berlin/main/index.html)
